detectors,family,varsByName,attachedTo,isActive,varsByOnto,name
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1BPD1'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1BPD1
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1FJD2'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1FJD2
"{'pm2.5': {'u': 'ug/m3', 'o': 'AQ_PM25', 'nError': -32768.0, 'name': 'pm2.5'}, 'pm10': {'u': 'ug/m3', 'o': 'AQ_PM10', 'nError': -32768.0, 'name': 'pm10'}}",luftdaten,"['pm2.5', 'pm10']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': 'LD0072'}]",True,"['AQ_PM10', 'AQ_PM25']",25595
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1KMD1'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1KMD1
"{'pm2.5': {'u': 'ug/m3', 'o': 'AQ_PM25', 'nError': -32768.0, 'name': 'pm2.5'}, 'pm10': {'u': 'ug/m3', 'o': 'AQ_PM10', 'nError': -32768.0, 'name': 'pm10'}}",luftdaten,"['pm2.5', 'pm10']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': 'LD0056'}]",True,"['AQ_PM10', 'AQ_PM25']",24245
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1THD1'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1THD1
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1LWD1'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1LWD1
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]DET033_2'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]DET033_2
"{'airtemp': {'u': 'C', 'o': 'MET_TEMP', 'nError': -32768.0, 'name': 'airtemp'}, 'relhum': {'u': '%', 'o': 'MET_RH', 'nError': -32768.0, 'name': 'relhum'}}",luftdaten,"['airtemp', 'relhum']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': 'LD0012'}]",True,"['MET_RH', 'MET_TEMP']",22229
"{'airtemp': {'u': 'C', 'o': 'MET_TEMP', 'nError': -32768.0, 'name': 'airtemp'}, 'relhum': {'u': '%', 'o': 'MET_RH', 'nError': -32768.0, 'name': 'relhum'}, 'atmpress': {'u': 'hPa', 'o': 'MET_AP', 'nError': -32768.0, 'name': 'atmpress'}}",luftdaten,"['airtemp', 'relhum', 'atmpress']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': 'LD0038'}]",True,"['MET_AP', 'MET_RH', 'MET_TEMP']",24194
